mona-circle-black.png	12 KB	12074	
mona-circle-black.svg	1.5 KB	1566	⭕
mona-line-black.png	15.9 KB	15955	
mona-line-black.svg	2 KB	2083	⭕
mona-mark-black-line.png	14.8 KB	14881	
mona-mark-black-line.svg	1.2 KB	1241	⭕
mona-mark-black.png	10 KB	10084	
mona-mark-black.svg	961 B	961	⭕
monacoin-face-mouth-red.png	27.5 KB	27521	
monacoin-face-mouth-red.svg	4.3 KB	4351	❌
monacoin-face-mouth-white.png	26 KB	26013	
monacoin-face-mouth-white.svg	4.1 KB	4166	❌
monacoin-mouth-red.png	66.7 KB	66750	
monacoin-mouth-red.svg	6.1 KB	6125	❌
monacoin-mouth-white.png	59.9 KB	59917	
monacoin-mouth-white.svg	5.9 KB	5939	❌
monar-mark-gold.png	17.7 KB	17771	
monar-mark-gold.svg	3.8 KB	3889	⭕
monar-mark.png	25.1 KB	25187	
monar-mark.svg	3.3 KB	3333	⭕
monar-mouth-red.png	20.2 KB	20265	
monar-mouth-red.svg	2.9 KB	2956	⭕
monar-mouth-white.png	20.4 KB	20433	
monar-mouth-white.svg	2.7 KB	2712	⭕
monar-no-face.png	16.6 KB	16640	
monar-no-face.svg	1.8 KB	1858	⭕
monar-outline-transparent.png	64.5 KB	64599	
monar-outline-transparent.svg	2.3 KB	2358	⭕
